Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
AdaBoost,0.7821149751596878,0.5632183908045977,0.7882037533512064,0.6569832402234637,0.8637068224869833
Logistic Regression,0.7544357700496807,0.5227655986509275,0.8310991957104558,0.6418219461697723,0.860733435465339
Gradient Boosting,0.8034066713981547,0.6188118811881188,0.6702412868632708,0.6435006435006435,0.8577975716045422
XGBoost,0.7920511000709723,0.6081081081081081,0.6032171581769437,0.6056527590847914,0.8412395064539836
Random Forest,0.7842441447835344,0.5940054495912807,0.5844504021447721,0.5891891891891892,0.8362036394878218
